Time;J_MUR_T1;TP_EF_T1
21.11.2015 4:32:0;81.83;75.79
21.11.2015 4:33:0;81.83;76.01
21.11.2015 4:34:0;81.83;76.01
21.11.2015 4:35:0;81.92;75.71
21.11.2015 4:36:0;82.00;75.92
21.11.2015 4:37:0;82.09;76.01
21.11.2015 4:38:0;82.22;76.01
21.11.2015 4:39:0;82.35;75.92
21.11.2015 4:40:0;82.52;75.84
21.11.2015 4:41:0;82.52;75.71
21.11.2015 4:42:0;82.74;75.58
21.11.2015 4:43:0;82.87;75.58
21.11.2015 4:44:0;82.87;75.19
21.11.2015 4:45:0;82.96;75.19
21.11.2015 4:46:0;83.09;74.84
21.11.2015 4:47:0;83.17;74.97
21.11.2015 4:48:0;83.17;75.62
21.11.2015 4:49:0;83.22;75.71
21.11.2015 4:50:0;83.39;75.53
21.11.2015 4:51:0;83.39;75.27
21.11.2015 4:52:0;83.39;75.19
21.11.2015 4:53:0;83.39;75.71
21.11.2015 4:54:0;83.39;75.92
21.11.2015 4:55:0;83.39;75.92
21.11.2015 4:56:0;83.30;75.79
21.11.2015 4:57:0;83.30;75.71
21.11.2015 4:58:0;83.22;75.79
21.11.2015 4:59:0;83.22;76.01
21.11.2015 5:0:0;83.22;76.19
21.11.2015 5:1:0;83.22;76.14
21.11.2015 5:2:0;83.22;75.92
21.11.2015 5:3:0;83.39;75.58
21.11.2015 5:4:0;83.39;75.58
21.11.2015 5:5:0;83.61;75.58
21.11.2015 5:6:0;83.74;75.27
21.11.2015 5:7:0;83.96;75.10
21.11.2015 5:8:0;83.96;74.88
21.11.2015 5:9:0;84.04;74.97
21.11.2015 5:10:0;84.04;75.58
21.11.2015 5:11:0;84.04;76.01
21.11.2015 5:12:0;84.04;76.01
21.11.2015 5:13:0;84.09;75.71
21.11.2015 5:14:0;84.17;76.19
21.11.2015 5:15:0;84.17;76.19
21.11.2015 5:16:0;84.30;76.62
21.11.2015 5:17:0;84.30;77.31
21.11.2015 5:18:0;84.30;77.66
21.11.2015 5:19:0;84.30;77.75
21.11.2015 5:20:0;84.30;78.01
21.11.2015 5:21:0;84.22;78.36
21.11.2015 5:22:0;84.17;78.83
21.11.2015 5:23:0;84.04;79.27
21.11.2015 5:24:0;84.04;79.66
21.11.2015 5:25:0;84.04;79.92
21.11.2015 5:26:0;84.04;80.14
21.11.2015 5:27:0;84.04;80.40
21.11.2015 5:28:0;84.04;80.57
21.11.2015 5:29:0;84.09;80.48
21.11.2015 5:30:0;84.09;80.57
21.11.2015 5:31:0;84.09;80.57
21.11.2015 5:32:0;84.17;80.57
21.11.2015 5:33:0;84.17;80.40
21.11.2015 5:34:0;84.17;80.31
21.11.2015 5:35:0;84.17;80.31
21.11.2015 5:36:0;84.17;80.40
21.11.2015 5:37:0;84.26;80.48
21.11.2015 5:38:0;84.26;80.40
21.11.2015 5:39:0;84.26;80.57
21.11.2015 5:40:0;84.26;80.57
21.11.2015 5:41:0;84.26;80.92
21.11.2015 5:42:0;84.17;81.00
21.11.2015 5:43:0;84.09;81.18
21.11.2015 5:44:0;84.09;81.18
21.11.2015 5:45:0;84.00;81.18
21.11.2015 5:46:0;83.87;80.79
21.11.2015 5:47:0;83.78;80.57
21.11.2015 5:48:0;83.78;80.57
21.11.2015 5:49:0;83.78;80.40
21.11.2015 5:50:0;83.78;80.92
21.11.2015 5:51:0;83.65;81.35
21.11.2015 5:52:0;83.65;81.35
21.11.2015 5:53:0;83.74;81.44
21.11.2015 5:54:0;83.74;81.35
21.11.2015 5:55:0;83.74;81.22
21.11.2015 5:56:0;83.74;81.22
21.11.2015 5:57:0;83.74;81.35
21.11.2015 5:58:0;83.78;81.44
21.11.2015 5:59:0;83.78;81.35
21.11.2015 6:0:0;83.78;81.44
21.11.2015 6:1:0;83.78;81.57
21.11.2015 6:2:0;83.78;81.57
21.11.2015 6:3:0;83.87;81.57
21.11.2015 6:4:0;83.87;81.57
21.11.2015 6:5:0;83.87;81.48
21.11.2015 6:6:0;83.78;81.48
21.11.2015 6:7:0;83.78;81.35
21.11.2015 6:8:0;83.61;81.22
21.11.2015 6:9:0;83.61;81.22
21.11.2015 6:10:0;83.52;81.00
21.11.2015 6:11:0;83.52;80.92
21.11.2015 6:12:0;83.52;80.79
21.11.2015 6:13:0;83.65;80.61
21.11.2015 6:14:0;83.74;80.27
21.11.2015 6:15:0;83.74;80.74
21.11.2015 6:16:0;83.83;81.00
21.11.2015 6:17:0;83.96;81.18
21.11.2015 6:18:0;83.87;81.18
21.11.2015 6:19:0;83.96;81.44
21.11.2015 6:20:0;83.96;81.44
21.11.2015 6:21:0;83.78;81.57
21.11.2015 6:22:0;83.78;81.61
21.11.2015 6:23:0;83.61;81.83
21.11.2015 6:24:0;83.61;81.70
21.11.2015 6:25:0;83.61;81.83
21.11.2015 6:26:0;83.52;82.05
21.11.2015 6:27:0;83.43;81.92
21.11.2015 6:28:0;83.43;81.92
21.11.2015 6:29:0;83.39;81.83
21.11.2015 6:30:0;83.39;81.83
21.11.2015 6:31:0;83.39;81.92
21.11.2015 6:32:0;83.39;81.83
21.11.2015 6:33:0;83.52;81.92
21.11.2015 6:34:0;83.52;81.92
21.11.2015 6:35:0;83.52;81.83
21.11.2015 6:36:0;83.52;81.92
21.11.2015 6:37:0;83.61;82.05
21.11.2015 6:38:0;83.52;81.92
21.11.2015 6:39:0;83.61;82.05
21.11.2015 6:40:0;83.61;82.13
21.11.2015 6:41:0;83.65;82.05
21.11.2015 6:42:0;83.78;82.05
21.11.2015 6:43:0;83.78;82.13
21.11.2015 6:44:0;83.87;82.13
21.11.2015 6:45:0;83.87;81.92
21.11.2015 6:46:0;83.87;81.92
21.11.2015 6:47:0;83.87;82.05
21.11.2015 6:48:0;83.78;82.13
21.11.2015 6:49:0;83.78;81.92
21.11.2015 6:50:0;83.78;82.13
21.11.2015 6:51:0;83.78;82.13
21.11.2015 6:52:0;83.61;82.05
21.11.2015 6:53:0;83.61;82.13
21.11.2015 6:54:0;83.52;82.13
21.11.2015 6:55:0;83.52;82.05
21.11.2015 6:56:0;83.43;82.05
21.11.2015 6:57:0;83.43;82.13
21.11.2015 6:58:0;83.35;82.05
21.11.2015 6:59:0;83.43;81.92
21.11.2015 7:0:0;83.52;81.92
21.11.2015 7:1:0;83.61;81.92
21.11.2015 7:2:0;83.74;81.83
21.11.2015 7:3:0;83.83;81.83
21.11.2015 7:4:0;83.83;81.83
21.11.2015 7:5:0;83.96;81.70
21.11.2015 7:6:0;83.96;81.70
21.11.2015 7:7:0;83.96;81.70
21.11.2015 7:8:0;83.96;81.48
21.11.2015 7:9:0;83.87;81.57
21.11.2015 7:10:0;83.78;81.61
21.11.2015 7:11:0;83.65;81.61
21.11.2015 7:12:0;83.61;81.61
21.11.2015 7:13:0;83.61;81.61
21.11.2015 7:14:0;83.52;81.70
21.11.2015 7:15:0;83.43;81.70
21.11.2015 7:16:0;83.43;81.70
21.11.2015 7:17:0;83.35;81.83
21.11.2015 7:18:0;83.35;81.83
21.11.2015 7:19:0;83.35;81.83
21.11.2015 7:20:0;83.35;81.83
21.11.2015 7:21:0;83.43;81.83
21.11.2015 7:22:0;83.52;81.70
21.11.2015 7:23:0;83.61;81.70
21.11.2015 7:24:0;83.74;81.61
21.11.2015 7:25:0;83.78;81.48
21.11.2015 7:26:0;83.78;81.48
21.11.2015 7:27:0;83.78;81.57
21.11.2015 7:28:0;83.87;81.48
21.11.2015 7:29:0;83.87;81.44
21.11.2015 7:30:0;83.96;81.57
21.11.2015 7:31:0;83.87;81.48
21.11.2015 7:32:0;83.78;81.57
21.11.2015 7:33:0;83.78;81.70
21.11.2015 7:34:0;83.65;81.83
21.11.2015 7:35:0;83.74;81.83
21.11.2015 7:36:0;83.65;81.83
21.11.2015 7:37:0;83.61;81.83
21.11.2015 7:38:0;83.61;81.83
21.11.2015 7:39:0;83.56;81.70
21.11.2015 7:40:0;83.56;81.70
21.11.2015 7:41:0;83.56;81.61
21.11.2015 7:42:0;83.56;81.61
21.11.2015 7:43:0;83.56;81.61
21.11.2015 7:44:0;83.52;81.48
21.11.2015 7:45:0;83.52;81.48
21.11.2015 7:46:0;83.43;81.57
21.11.2015 7:47:0;83.52;81.44
21.11.2015 7:48:0;83.52;81.44
21.11.2015 7:49:0;83.52;81.44
21.11.2015 7:50:0;83.52;81.44
21.11.2015 7:51:0;83.52;81.44
21.11.2015 7:52:0;83.52;81.48
21.11.2015 7:53:0;83.52;81.57
21.11.2015 7:54:0;83.35;81.57
21.11.2015 7:55:0;83.35;81.70
21.11.2015 7:56:0;83.13;81.70
21.11.2015 7:57:0;83.00;81.70
21.11.2015 7:58:0;82.74;81.83
21.11.2015 7:59:0;82.48;81.83
21.11.2015 8:0:0;82.48;81.83
21.11.2015 8:1:0;82.48;81.83
21.11.2015 8:2:0;82.57;81.83
21.11.2015 8:3:0;82.74;81.83
21.11.2015 8:4:0;82.96;81.70
21.11.2015 8:5:0;83.17;81.48
21.11.2015 8:6:0;83.39;81.70
21.11.2015 8:7:0;83.56;81.70
21.11.2015 8:8:0;83.65;81.61
21.11.2015 8:9:0;83.78;81.61
21.11.2015 8:10:0;83.87;81.61
21.11.2015 8:11:0;83.96;81.57
21.11.2015 8:12:0;84.04;81.57
21.11.2015 8:13:0;84.26;81.61
21.11.2015 8:14:0;84.48;81.61
21.11.2015 8:15:0;84.82;81.83
21.11.2015 8:16:0;85.08;81.83
21.11.2015 8:17:0;85.26;81.83
